SGG_NM,CNTRCT_DE,RENT_GTN
용산구,2022-03-10,77789.28571
용산구,2022-03-11,54645.58824
용산구,2022-03-12,48043.51852
용산구,2022-03-13,45729.2
용산구,2022-03-14,64842.72727
용산구,2022-03-15,63200
용산구,2022-03-16,74711.36364
용산구,2022-03-17,74143.75
용산구,2022-03-18,111552.5
용산구,2022-03-19,55987.5
용산구,2022-03-20,74512.5
용산구,2022-03-21,52004
용산구,2022-03-22,58000
용산구,2022-03-23,88520
용산구,2022-03-24,85800
용산구,2022-03-25,71630.58333
용산구,2022-03-26,66689.8
용산구,2022-03-27,46633.33333
용산구,2022-03-28,75900
용산구,2022-03-29,53150
용산구,2022-03-30,77316.66667
용산구,2022-03-31,55366.66667
용산구,2022-04-01,38560.76923
용산구,2022-04-02,82670
용산구,2022-04-03,45800
용산구,2022-04-04,68277.77778
용산구,2022-04-05,102525.6667
용산구,2022-04-06,49377.27273
용산구,2022-04-07,65560
용산구,2022-04-08,77823.07692
용산구,2022-04-09,68196.42857
용산구,2022-04-10,46266.66667
용산구,2022-04-11,69038.23529
용산구,2022-04-12,60538.75
용산구,2022-04-13,76498.07692
용산구,2022-04-14,68700
용산구,2022-04-15,50709.09091
용산구,2022-04-16,69669.88235
용산구,2022-04-17,98125
용산구,2022-04-18,52766
용산구,2022-04-19,85833.33333
용산구,2022-04-20,81708.33333
용산구,2022-04-21,74130
용산구,2022-04-22,80422.72727
용산구,2022-04-23,54655.11538
용산구,2022-04-24,42587.5
용산구,2022-04-25,78238.16667
용산구,2022-04-26,70785.71429
용산구,2022-04-27,43490.90909
용산구,2022-04-28,71450
용산구,2022-04-29,48506.88889
용산구,2022-04-30,62068.03571
용산구,2022-05-01,64375
용산구,2022-05-02,64125
용산구,2022-05-03,75147.8
용산구,2022-05-04,65563.75
용산구,2022-05-05,87630
용산구,2022-05-06,81044.7
용산구,2022-05-07,56066.66667
용산구,2022-05-08,75500
용산구,2022-05-09,56464.58333
용산구,2022-05-10,75316.66667
용산구,2022-05-11,63011.53846
용산구,2022-05-12,58219
