SGG_NM,YM,RENT_GTN,RENT_FEE
은평구,2022-11,10370.984126984127,68.46349206349207
은평구,2022-12,8840.972972972973,52.48856548856549
은평구,2023-01,8987.648760330578,54.13636363636363
종로구,2022-01,13345.787234042553,93.23404255319149
종로구,2022-02,12104.879746835442,91.36708860759494
종로구,2022-03,12579.113333333333,97.62666666666667
종로구,2022-04,10048.948275862069,89.97413793103448
종로구,2022-05,11796.387596899225,98.68992248062015
종로구,2022-06,13456.10447761194,93.28358208955224
종로구,2022-07,10252.823529411764,92.65294117647059
종로구,2022-08,10499.047619047618,92.78231292517007
종로구,2022-09,11208.699115044248,99.87610619469027
종로구,2022-10,15378.112068965518,84.14655172413794
종로구,2022-11,12641.632,108.168
종로구,2022-12,13350.596638655463,103.87394957983193
종로구,2023-01,13700.0,115.5
중구,2022-01,12014.624365482234,108.28426395939087
중구,2022-02,15128.497757847534,99.31390134529148
중구,2022-03,13437.41884816754,111.95287958115183
중구,2022-04,12508.209580838324,105.16766467065868
중구,2022-05,11598.582887700535,114.65775401069519
중구,2022-06,8507.22842639594,93.0253807106599
중구,2022-07,9081.65350877193,93.21491228070175
중구,2022-08,12030.525423728814,107.92090395480226
중구,2022-09,13645.785340314136,109.22513089005236
중구,2022-10,11375.71724137931,101.54482758620689
중구,2022-11,12793.156462585033,106.91156462585035
중구,2022-12,11459.376923076923,101.07692307692308
중구,2023-01,13401.098591549297,79.90140845070422
중랑구,2022-01,9472.188841201716,50.79399141630901
중랑구,2022-02,8578.390476190476,50.79365079365079
중랑구,2022-03,10012.284722222223,49.62847222222222
중랑구,2022-04,9890.6015625,45.1171875
중랑구,2022-05,9110.91603053435,49.42748091603053
중랑구,2022-06,9774.833333333334,48.46491228070175
중랑구,2022-07,11357.719806763285,51.21256038647343
중랑구,2022-08,10589.966292134832,53.42322097378277
중랑구,2022-09,12016.185185185184,45.51111111111111
중랑구,2022-10,10758.69512195122,64.32317073170732
중랑구,2022-11,7666.612903225807,40.61290322580645
중랑구,2022-12,8462.250950570342,41.62357414448669
중랑구,2023-01,7526.861111111111,49.416666666666664
