BJDONG_NM,CNTRCT_DE,RENT_GTN
가산동,2022-09-04,12800.0
가산동,2022-09-05,12912.5
가산동,2022-09-06,17816.666666666668
가산동,2022-09-07,16890.0
가산동,2022-09-08,34000.0
가산동,2022-09-10,27300.0
가산동,2022-09-11,24000.0
가산동,2022-09-13,15500.0
가산동,2022-09-14,19040.14285714286
가산동,2022-09-15,16605.0
가산동,2022-09-16,13800.0
가산동,2022-09-17,15762.5
가산동,2022-09-18,34700.0
가산동,2022-09-19,19700.0
가산동,2022-09-20,19000.0
가산동,2022-09-21,17558.333333333332
가산동,2022-09-22,26700.0
가산동,2022-09-23,12600.0
가산동,2022-09-24,22833.333333333332
가산동,2022-09-25,25625.0
가산동,2022-09-26,19331.25
가산동,2022-09-27,14000.0
가산동,2022-09-28,18200.0
가산동,2022-09-29,13812.5
가산동,2022-09-30,14000.0
가산동,2022-10-01,22600.0
가산동,2022-10-04,38750.0
가산동,2022-10-06,13166.666666666666
가산동,2022-10-07,10000.0
가산동,2022-10-08,25725.0
가산동,2022-10-11,15400.0
가산동,2022-10-13,13400.0
가산동,2022-10-15,25060.0
가산동,2022-10-16,13000.0
가산동,2022-10-17,31375.0
가산동,2022-10-18,18587.5
가산동,2022-10-19,16033.333333333334
가산동,2022-10-20,14408.0
가산동,2022-10-21,15200.0
가산동,2022-10-23,19900.0
가산동,2022-10-25,14437.5
가산동,2022-10-26,17325.0
가산동,2022-10-28,15300.0
가산동,2022-10-29,17787.5
가산동,2022-11-02,12075.0
가산동,2022-11-03,14000.0
가산동,2022-11-04,20000.0
가산동,2022-11-05,19525.0
가산동,2022-11-07,13750.0
가산동,2022-11-08,31350.0
가산동,2022-11-09,12500.0
가산동,2022-11-10,12127.0
가산동,2022-11-11,16266.666666666666
가산동,2022-11-12,20300.0
가산동,2022-11-14,19485.0
가산동,2022-11-15,14000.0
가산동,2022-11-19,12600.0
가산동,2022-11-20,14250.0
가산동,2022-11-21,14700.0
가산동,2022-11-22,14700.0
가산동,2022-11-23,13000.0
가산동,2022-11-24,12933.333333333334
가산동,2022-11-25,22675.0
가산동,2022-11-26,23666.666666666668
가산동,2022-11-27,23900.0
가산동,2022-11-28,20685.0
가산동,2022-11-29,23475.0
가산동,2022-11-30,14350.0
가산동,2022-12-01,13700.0
가산동,2022-12-02,20000.0
가산동,2022-12-03,20000.0
가산동,2022-12-04,25700.0
가산동,2022-12-06,14600.0
가산동,2022-12-07,16950.0
가산동,2022-12-09,12250.0
가산동,2022-12-10,23616.666666666668
