SGG_NM,CNTRCT_DE,RENT_GTN,RENT_FEE
구로구,2022-04-28,10452.818181818182,43.90909090909091
구로구,2022-04-29,12135.782608695652,69.3913043478261
구로구,2022-04-30,9127.272727272728,91.4090909090909
구로구,2022-05-01,3833.3333333333335,75.0
구로구,2022-05-02,9005.4,79.2
구로구,2022-05-03,11136.047619047618,65.28571428571429
구로구,2022-05-04,14326.28125,53.625
구로구,2022-05-05,2600.0,67.2
구로구,2022-05-06,13671.461538461539,44.38461538461539
구로구,2022-05-07,10583.333333333334,67.22222222222223
구로구,2022-05-08,7300.0,83.0
구로구,2022-05-09,14255.296296296296,48.370370370370374
구로구,2022-05-10,12629.3,44.93333333333333
구로구,2022-05-11,15768.92,58.36
구로구,2022-05-12,16803.85714285714,41.80952380952381
구로구,2022-05-13,13378.642857142857,63.035714285714285
구로구,2022-05-14,13136.363636363636,43.36363636363637
구로구,2022-05-15,1000.0,50.0
구로구,2022-05-16,20624.214285714286,50.357142857142854
구로구,2022-05-17,17838.441860465115,45.13953488372093
구로구,2022-05-18,17572.275862068964,41.55172413793103
구로구,2022-05-19,17826.266666666666,61.7
구로구,2022-05-20,16177.933333333332,46.17777777777778
구로구,2022-05-21,13500.0,67.5
구로구,2022-05-22,1000.0,60.0
구로구,2022-05-23,13097.628571428571,47.48571428571429
구로구,2022-05-24,14865.25,47.416666666666664
구로구,2022-05-25,14531.216216216217,55.567567567567565
구로구,2022-05-26,14700.1875,62.0625
구로구,2022-05-27,20625.0,48.57575757575758
구로구,2022-05-28,11388.888888888889,82.44444444444444
구로구,2022-05-29,7500.0,54.25
구로구,2022-05-30,19583.1935483871,52.516129032258064
구로구,2022-05-31,21531.84,40.52
구로구,2022-06-01,11661.473684210527,58.89473684210526
구로구,2022-06-02,15150.01724137931,39.775862068965516
구로구,2022-06-03,19187.0,39.9
구로구,2022-06-04,9550.0,61.5
구로구,2022-06-06,10777.777777777777,52.0
구로구,2022-06-07,12845.189873417721,32.29113924050633
구로구,2022-06-08,14641.786885245901,36.67213114754098
구로구,2022-06-09,16877.942857142858,45.114285714285714
구로구,2022-06-10,19514.20930232558,47.906976744186046
구로구,2022-06-11,11384.615384615385,49.69230769230769
구로구,2022-06-12,1750.0,85.5
구로구,2022-06-13,16719.64285714286,41.7
구로구,2022-06-14,19563.14814814815,47.851851851851855
구로구,2022-06-15,18753.51219512195,47.853658536585364
구로구,2022-06-16,19319.27027027027,50.75675675675676
구로구,2022-06-17,18556.725806451614,54.435483870967744
구로구,2022-06-18,17354.237288135595,58.94915254237288
구로구,2022-06-19,19511.428571428572,58.714285714285715
구로구,2022-06-20,15036.28,46.76
구로구,2022-06-21,18322.130434782608,53.34782608695652
구로구,2022-06-22,18917.71875,60.25
구로구,2022-06-23,17346.916666666668,47.861111111111114
구로구,2022-06-24,17840.833333333332,61.75
구로구,2022-06-25,7928.571428571428,70.64285714285714
구로구,2022-06-26,18992.647058823528,58.64705882352941
구로구,2022-06-27,20205.96551724138,49.44827586206897
구로구,2022-06-28,17408.363636363636,51.0
구로구,2022-06-29,21451.5,50.666666666666664
구로구,2022-06-30,17355.51282051282,46.69230769230769
구로구,2022-07-01,19905.17777777778,55.31111111111111
구로구,2022-07-02,9333.333333333334,60.93333333333333
구로구,2022-07-03,19612.5,97.5
구로구,2022-07-04,21354.676470588234,47.64705882352941
구로구,2022-07-05,21002.071428571428,54.17857142857143
구로구,2022-07-06,20901.21153846154,44.96153846153846
구로구,2022-07-07,20899.444444444445,50.355555555555554
구로구,2022-07-08,21766.222222222223,47.27777777777778
구로구,2022-07-09,8605.0,78.1
구로구,2022-07-10,3500.0,77.5
구로구,2022-07-11,12446.333333333334,36.17777777777778
구로구,2022-07-12,12717.09090909091,44.27272727272727
구로구,2022-07-13,16924.408163265307,41.10204081632653
구로구,2022-07-14,13475.295454545454,38.27272727272727
구로구,2022-07-15,16585.41176470588,50.029411764705884
구로구,2022-07-16,2680.2,48.06666666666667
구로구,2022-07-17,12583.333333333334,76.16666666666667
구로구,2022-07-18,19181.625,38.96875
구로구,2022-07-19,17569.59375,47.375
구로구,2022-07-20,19827.875,45.71875
구로구,2022-07-21,12186.190476190477,60.04761904761905
구로구,2022-07-22,16738.720930232557,43.53488372093023
구로구,2022-07-23,9785.714285714286,64.52380952380952
구로구,2022-07-25,15419.826086956522,61.391304347826086
구로구,2022-07-26,14380.111111111111,51.77777777777778
구로구,2022-07-27,19416.216216216217,53.432432432432435
구로구,2022-07-28,13832.529411764706,53.94117647058823
구로구,2022-07-29,10968.5,45.611111111111114
구로구,2022-07-30,6804.0,70.53333333333333
구로구,2022-07-31,4000.0,37.666666666666664
구로구,2022-08-01,10929.3125,55.25
구로구,2022-08-02,10597.333333333334,61.333333333333336
구로구,2022-08-03,16262.25,53.8125
구로구,2022-08-04,11485.416666666666,51.916666666666664
구로구,2022-08-05,19220.533333333333,52.6
구로구,2022-08-06,10844.307692307691,71.92307692307692
구로구,2022-08-07,6500.0,72.0
구로구,2022-08-08,12290.75,52.1875
구로구,2022-08-09,13292.363636363636,53.72727272727273
구로구,2022-08-10,10756.818181818182,52.36363636363637
구로구,2022-08-11,17682.409090909092,57.09090909090909
구로구,2022-08-12,14799.947368421053,48.31578947368421
구로구,2022-08-13,10331.818181818182,60.04545454545455
구로구,2022-08-14,9000.0,92.0
구로구,2022-08-15,7662.5,49.125
구로구,2022-08-16,10558.588235294117,41.64705882352941
구로구,2022-08-17,11936.756756756757,42.351351351351354
구로구,2022-08-18,11251.241379310344,33.724137931034484
구로구,2022-08-19,17034.75,48.083333333333336
구로구,2022-08-20,10813.5,59.0625
구로구,2022-08-21,14000.0,74.33333333333333
구로구,2022-08-22,8386.538461538461,68.38461538461539
구로구,2022-08-23,10601.923076923076,70.53846153846153
구로구,2022-08-24,10168.565217391304,64.65217391304348
